FirstName1 LastName1  full 125173.57
FirstName2 LastName2  assistant 70247.57
FirstName3 LastName3  full 116546.99
FirstName4 LastName4  assistant 76397.16
FirstName5 LastName5  full 129221.39
FirstName6 LastName6  assistant 52429.69
FirstName7 LastName7  assistant 57166.09
FirstName8 LastName8  assistant 59211.08
FirstName9 LastName9  assistant 76924.58
FirstName10 LastName10  assistant 74421.49
FirstName11 LastName11  associate 77710.62
FirstName12 LastName12  full 96616.28
FirstName13 LastName13  full 127297.31
FirstName14 LastName14  full 79834.32
FirstName15 LastName15  full 109164.55
FirstName16 LastName16  full 123453.99
FirstName17 LastName17  full 114026.72
FirstName18 LastName18  assistant 57224.20
FirstName19 LastName19  assistant 77449.74
FirstName20 LastName20  full 91230.10
FirstName21 LastName21  assistant 74557.95
FirstName22 LastName22  assistant 73720.35
FirstName23 LastName23  full 129679.84
FirstName24 LastName24  associate 106670.79
FirstName25 LastName25  full 89883.02
FirstName26 LastName26  assistant 69888.90
FirstName27 LastName27  full 92550.27
FirstName28 LastName28  assistant 77294.81
FirstName29 LastName29  assistant 61140.67
FirstName30 LastName30  full 124907.83
FirstName31 LastName31  assistant 66193.82
FirstName32 LastName32  assistant 70609.01
FirstName33 LastName33  assistant 77222.54
FirstName34 LastName34  assistant 64097.85
FirstName35 LastName35  full 90525.52
FirstName36 LastName36  associate 99566.29
FirstName37 LastName37  assistant 58120.33
FirstName38 LastName38  full 120985.48
FirstName39 LastName39  assistant 53369.80
FirstName40 LastName40  assistant 69555.67
FirstName41 LastName41  associate 87175.42
FirstName42 LastName42  associate 90642.31
FirstName43 LastName43  associate 100259.09
FirstName44 LastName44  associate 97679.77
FirstName45 LastName45  full 118889.95
FirstName46 LastName46  full 95045.56
FirstName47 LastName47  full 91530.77
FirstName48 LastName48  full 105129.77
FirstName49 LastName49  assistant 53413.60
FirstName50 LastName50  associate 73478.04
FirstName51 LastName51  associate 108587.46
FirstName52 LastName52  associate 100492.37
FirstName53 LastName53  full 78743.74
FirstName54 LastName54  assistant 62456.86
FirstName55 LastName55  full 79804.84
FirstName56 LastName56  associate 79308.47
FirstName57 LastName57  full 113590.94
FirstName58 LastName58  full 118719.27
FirstName59 LastName59  associate 89765.64
FirstName60 LastName60  assistant 65666.42
FirstName61 LastName61  associate 70754.93
FirstName62 LastName62  associate 76315.39
FirstName63 LastName63  assistant 68214.19
FirstName64 LastName64  full 86660.40
FirstName65 LastName65  associate 104945.93
FirstName66 LastName66  full 100077.89
FirstName67 LastName67  associate 70612.70
FirstName68 LastName68  associate 73076.11
FirstName69 LastName69  assistant 51541.21
